N,qubits,gates,n1,n2,n3,n4
4,2,20,1,1,0,0
6,4,111,2,3,3,1
8,6,463,3,7,10,7
10,8,1248,4,13,21,22
12,10,2638,5,21,36,50
14,12,4805,6,31,55,95
16,14,7921,7,43,78,161
18,16,12158,8,57,105,252
20,18,17688,9,73,136,372
22,20,24683,10,91,171,525
24,22,33315,11,111,210,715
26,24,43756,12,133,253,946
28,26,56178,13,157,300,1222
30,28,70753,14,183,351,1547
32,30,87653,15,211,406,1925
34,32,107050,16,241,465,2360
36,34,129116,17,273,528,2856
38,36,154023,18,307,595,3417
40,38,181943,19,343,666,4047
42,40,213048,20,381,741,4750
44,42,247510,21,421,820,5530
46,44,285501,22,463,903,6391
48,46,327193,23,507,990,7337
50,48,372758,24,553,1081,8372
